Security_Code,ISIN,Security_Name
SJVN,INE002L01015,SJVN Limited
SSWL,INE802C01033,Steel Strips Wheels Limited
SUNFLAG,INE947A01014,Sunflag Iron & Steel Company Ltd
SURANATP,INE130B01031,Surana Telecom and Power Ltd
UCOBANK,INE691A01018,Uco Bank
105085,INF204KB17I5,Nippon India ETF Gold BeES
ABAN,INE421A01028,Aban Offshore Ltd
ACKRUTI,INE703H01016,Hubtown Ltd
AKSHOPTFBR,INE523B01011,Aksh Optifibre Ltd
ALEMBICLTD,INE426A01027,ALEMBIC LTD
ASTRAMICRO,INE386C01029,Astra Microwave Products Limited
BHAGYANGR,INE458B01036,Bhagyanagar India Ltd
BINANIIND,INE071A01013,Bil Vyapar Ltd
ESTER,INE778B01029,ESTER INDUSTRIES LTD
FINANTECH,INE111B01023,63 Moons Technologies Ltd
FLFL,INE452O01016,Future Lifestyle Fashions Limited
FMNL,INE360L01017,Future Market Networks Ltd
FRETAIL,INE752P01024,Future Retail Ltd
FSL,INE684F01012,Firstsource Solutions Limited
GMRINFRA,INE776C01039,GMR Airports Ltd
HMT,INE262A01018,HMT Limited
HSIL,INE415A01038,Agi Greenpac Limited
IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited
INE733E07JP6,INE12345678,8.49% NTPC DB 25-03-2025
IVC,INE050B01023,IL&FS Investment Managers Ltd
JINDALSAW,INE324A01032,Jindal Saw Ltd
INE053F07538,INE053F07538,8.10% INDIAN RAILWAY FINANCE CORPORATION LIMITED
GMRPUI,INE0CU601026,GMR Power and Urban Infra Ltd
SHICOROL,INE0PB301013,Shipping Corporation of India Land and Assets Ltd
SHIL,INE05AN01011,Hindware Home Innovation Ltd
150737,INF179KC1DU7,HDFC Silver ETF Fund of Fund - Growth Option - Direct Plan
NIITTECH,INE591G01025,Coforge Ltd
ESSELPACK,INE255A01020,ESSEL PROPACK LIMITED
AUTOIETF,INF109KC10V2,ICICI Prudential Nifty Auto ETF
BDL,INE171Z01026,Bharat Dynamics Ltd
KAJARIACER,INE217B01036,Kajaria Ceramics Ltd.
SUNTV,INE424H01027,Sun TV Network Limited
EXIDEIND,INE302A01020,Exide Industries Limited
DIGIDRIVE,INE0PSC01024,Digidrive Distributors Ltd
PNBHOUSING,INE572E01012,PNB Housing Finance Limited
150643,INF109KC16J4,ICICI Prudential Nifty Auto Index Fund - Direct Plan - Growth
145454,INF740KA1LG1,DSP Healthcare Fund - Direct - Growth
152645,INF769K01LN0,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth
TUBEINVEST,INE974X01010,TUBE INVESTMENTS OF INDIA LIMITED
AFFLE,INE00WC01027,Affle 3i Ltd
JKLAKSHMI,INE786A01032,JK Lakshmi Cement Limited
IFCI,INE039A01010,IFCI Limited
134008,INF200KA1580,SBI Nifty Bank ETF
JUNIORBEES,INF732E01045,Nippon India ETF Nifty Next 50 Junior BeES
BANKBEES,INF204KB15I9,Nippon India ETF Nifty Bank BeES
ZODIACLOTH,INE206B01013,Zodiac Clothing Company Ltd
150619,INF179KC1DK8,HDFC NIFTY 50 VALUE 20 ETF - Growth Option
AARTIDRUGS,INE767A01016,Aarti Drugs Ltd
149254,INF754K01NJ6,Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth
150636,INF194KB1DV7,BANDHAN NIFTY100 LOW VOLATILITY 30 INDEX FUND - GROWTH - DIRECT PLAN
152365,INF109KC16T3,ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan - Growth
149804,INF959L01FT4,Navi Nifty Bank Index Fund- Direct Plan- Growth
INDIANHUME,INE323C01030,Indian Hume Pipe Company Limited
MANMMQ1ESC,INF769K01LJ8,Mirae Asset Nifty MSC400 Momentum Quality 100 ETF
SWSOLAR,INE00M201021,Sterling and Wilson Renewable Energy Ltd
PARPHOSP,INE088F01024,Paradeep Phosphates Limited
BLS,INE153T01027,BLS International Services Limited
ECLERX,INE738I01010,ECLERX SERVICES LIMITED
BAJAJCORP,INE933K01021,Bajaj Consumer Care Ltd
PPL,INE0DK501011,Piramal Pharma Ltd
118364,INF194K01I60,BANDHAN LIQUID Fund -Direct Plan-Growth
119125,INF740K01QL4,DSP Liquidity Fund - Direct - Growth
119164,INF959L01GF1,Navi Liquid Fund-Direct Plan-Growth Option
120197,INF109K01Q49,ICICI Prudential Liquid Fund - Direct Plan - Growth
USHAMART,INE228A01035,Usha Martin Limited
148721,INF204KB12Z0,Nippon India Nifty 50 Value 20 Index Fund - Direct Plan - Growth Option
149039,INF959L01FP2,Navi Nifty 50 Index Fund-Direct Plan-Growth
149447,INF959L01FR8,Navi Nifty Next 50 Index Fund- Direct Plan- Growth
149800,INF247L01AV1,Motilal Oswal Nifty 200 Momentum 30 Index Fund-Direct Plan
150487,INF204KC1584,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - Growth Option
150639,INF109KC10J7,ICICI Prudential Nifty50 Equal Weight Index Fund- Direct Plan - Growth
118701,INF204K01ZH0,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option
145834,INF247L01734,Motilal Oswal Liquid Fund - Direct - Growth
JTLIND,INE391J01032,Jtl Industries Ltd
TI,INE133E01013,Tilaknagar Industries Ltd
ASTRAZEN,INE203A01020,ASTRAZENECA PHARMA INDIA LIMITED
CHALET,INE427F01016,Chalet Hotels Limited
CEBBCO,INE209L01016,Jupiter Wagons Ltd
JKCEMENT,INE823G01014,JK Cement Ltd
ENDURANCE,INE913H01037,Endurance Technologies Limited
INDIGOPNTS,INE09VQ01012,Indigo Paints Limited
VRLLOG,INE366I01010,VRL Logistics Ltd
FCL,INE045J01026,Fineotex Chemical Ltd
SOBHA,INE671H01015,Sobha Ltd
ACE,INE731H01025,ACTION CONST EQUIP LTD
JHSSVERV,INE03DD01011,JHS Svendgaard Retail Ventures Ltd
RAMCOCEM,INE331A01037,The Ramco Cements Ltd
HNS2E_SC,INF179KC1FB2,HDFC NIFTY Smallcap 250 ETF
KEI,INE878B01027,KEI Industries Limited
JSWENERGY,INE121E01018,JSW ENERGY LTD
LODHA,INE670K01029,Lodha Developers Ltd
GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Limited
DNPBE01_SC,INF740KA1SY9,DSP Nifty PSU Bank ETF
KIMS,INE967H01025,Krishna Institute of Medical Sciences Ltd
119732,INF200K01UY4,SBI PSU Fund - Direct - Growth
DIAMONDYD,INE393P01035,Prataap Snacks Limited
MANBE_SC,INF769K01KR3,Mirae Asset Nifty Bank ETF
120587,INF109K01Z14,ICICI Prudential FMCG - Direct - Growth
COCHINSHIP,INE704P01025,Cochin Shipyard Limited
CYIENT,INE136B01020,Cyient Limited
120828,INF966L01689,Quant Small Cap Fund - Direct - Growth
RKFORGE,INE399G01023,RAMKRISHNA FORGINGS LTD
152990,INF194KB1IW4,Bandhan Nifty 500 Value 50 Index Fund Direct Plan - Growth
BIRLAERIC,INE800A01015,Birla Cable Ltd
FINPIPE,INE183A01024,FINOLEX INDUSTRIES LTD
GARWARPOLY,INE291A01017,Garware Hi-Tech Films Ltd
HDFCMFGETF,INF179KC1981,HDFC Gold Exchange Traded Fund
IDBI,INE008A01015,IDBI BANK LIMITED
KSCL,INE455I01029,Kaveri Seed Company Limited
REDPROTE,INE823D01011,Yash Innoventures Ltd
SHAKTIPUMP,INE908D01010,Shakti Pumps India Ltd
VESUVIUS,INE386A01023,Vesuvius India Ltd
BAJAJELEC,INE193E01025,Bajaj Electricals Limited
ATV,INE447A01015,ATV Projects India Ltd
BAJELPROJECTS,INE0KQN01018,Bajel Projects Ltd
TWL,INE615H01020,Titagarh Rail Systems Limited
RVNL,INE415G01027,Rail Vikas Nigam Limited
NOVAIRON,INE608C01026,Nova Iron & Steel Ltd
TVSELECT,INE236G01019,TVS Electronics Ltd
STAR,INE939A01011,Strides Pharma Science Ltd
FGPIND,INE512A01016,FGP Limited
EDELWEISS,INE532F01054,Edelweiss Financial Services Limited
NWML,INE531F01023,Nuvama Wealth Management Ltd
RAILTEL,INE0DD101019,Railtel Corporation Of India Limited
148822,INF109KC1P81,ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF - Direct Plan - Growth
IPNONGE_SC,INF109KC18W3,ICICI Prudential Nifty Oil and Gas ETF
NIITLTD,INE161A01038,NIIT Ltd
SUVEN,INE495B01038,Suven Life Sciences Ltd
ITCHOTLTD,INE379A01028,ITC Hotels Ltd
IPNME_SC,INF109KC19W1,ICICI Prudential Nifty Metal ETF
MAN2A3E_SC,INF769K01KU7,Mirae Asset Nifty 200 Alpha 30 ETF
MANENNAAE_SC,INF769K01LQ3,Mirae Asset Nifty EV and New Age Automotive ETF
CROMPTON,INE067A01029,CG Power and Industrial Solutions Ltd
HYUMOTOR,INE0V6F01027,Hyundai Motor India Ltd
SWIGGY,INE00H001014,Swiggy Ltd
BAJHOUFI,INE377Y01014,Bajaj Housing Finance Ltd
PRAJIND,INE074A01025,Praj Industries Limited
MEDANTA,INE474Q01031,Global Health Ltd
APL,INE0LRU01027,Aarti Pharmalabs Ltd
149868,INF179KC1BY3,HDFC NIFTY 100 Index Fund - Direct Plan - Growth Option
RELIGARE,INE621H01010,RELIGARE ENTERPRISES LTD
PREMIERENE,INE0BS701011,Premier Energies Ltd
PHOENIXLTD,INE211B01039,The Phoenix Mills Ltd
ONESOURCE,INE013P01021,OneSource Specialty Pharma Ltd
WAAENERG,INE377N01017,Waaree Energies Ltd
ANGELBRKG,INE732I01013,Angel One Limited
APARINDS,INE372A01015,Apar Industries Limited
EMUDHRA,INE01QM01018,eMudhra Ltd
FINOPB,INE02NC01014,Fino Payments Bank Limited
FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited
INOXWIND,INE066P01011,Inox Wind Limited
KALYANKJIL,INE303R01014,Kalyan Jewellers India Limited
KAYNES,INE918Z01012,Kaynes Technology India Ltd
MCX,INE745G01043,MULTI COMMODITY EXCHANGE OF INDIA LTD.
119091,INF179KB1HP9,HDFC Liquid Fund Direct Plan Growth Option
VMART,INE665J01013,V-MART RETAIL LTD
PDSMFL,INE111Q01021,PDS Ltd
NEWGEN,INE619B01017,Newgen Software Technologies Limited
JMFINANCIL,INE780C01023,JM FINANCIAL LTD
KRSNAA,INE08LI01020,Krsnaa Diagnostics Limited
NSDEOVI1,INE004A01022,Protean Egov Technologies Ltd
CAMLINFINE,INE052I01032,Camlin Fine Sciences Ltd
UPSERVI,INE851I01011,Updater Services Limited
152718,INF769K01LU5,Mirae Asset Nifty200 Alpha 30 ETF Fund of Fund - Direct Plan - Growth
152459,INF769K01LG4,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth
ZAGPREOS,INE07K301024,Zaggle Prepaid Ocean Services Ltd
149283,INF109KC1V18,ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth
SOUWESPE,INE980Y01015,South West Pinnacle Exploration Ltd
SIEMENSENERGY,INE1NPP01017,Siemens Energy India Ltd
TRITURBINE,INE152M01016,TRIVENI TURBINE LTD
SUNTECK,INE805D01034,SUNTECK REALTY LTD
INF194KB1HA2,INF194KB1HA2,Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth
DSBLRE_SC,INF740KA1UM0,DSP BSE Liquid Rate ETF
HBLPOWER,INE292B01021,HBL Engineering Ltd
INF204KB15W0,INF204KB15W0,Nippon India Nifty Smallcap 250 Index Fund
XPROINDIA,INE445C01015,XPRO INDIA LTD
PPAP,INE095I01015,PPAP Automotive Ltd
149892,INF959L01FX6,Navi Nifty Midcap 150 Index Fund Direct Plan- Growth
147623,INF247L01932,Motilal Oswal Nifty Smallcap 250 Index Fund - Direct - Growth
120620,INF109K012M7,ICICI Prudential Nifty Index Fund - Direct Plan Cumulative Option
BLUESTARCO,INE472A01039,Blue Star Limited
GRAPHITE,INE371A01025,GRAPHITE INDIA LTD.
INVKNOSO,INE115Q01022,Inventurus Knowledge Solutions Ltd
HIL,INE557A01011,Birlanu Ltd
IRMENERG,INE07U701015,IRM Energy Limited
BANDHANBANK,INE545U01014,Bandhan Bank Ltd
NTPGREEN,INE0ONG01011,NTPC Green Energy Ltd
SAGILITY,INE0W2G01015,Sagility Ltd
CONBIOTE,INE338H01029,Concord Biotech Ltd
KANSAINER,INE531A01024,Kansai Nerolac Paints Ltd
POLICYBZR,INE417T01026,PB Fintech Limited
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited
ITDCEM,INE686A01026,Cemindia Projects Ltd
PVR,INE191H01014,PVR INOX Limited
CEIGALL,INE0AG901020,Ceigall India Limited
GRAVITA,INE024L01027,Gravita India Limited
MOIL,INE490G01020,MOIL LTD
THOMASCOOK,INE332A01027,Thomas Cook India Ltd
STYLAMIND,INE239C01020,Stylam Industries Ltd
SYMPHONY,INE225D01027,Symphony Ltd.
VENPIPTU,INE0JA001018,Venus Pipes & Tubes Ltd
MARKSANS,INE750C01026,MARKSANS PHARMA LTD
HNNIDG,INF179KC1BQ9,HDFC NIFTY Next50 Index Fund Direct Growth
CHEMPLAST,INE488A01050,Chemplast Sanmar Ltd
ALLSEC,INE835G01018,Alldigi Tech Ltd
AMRUTANJAN,INE098F01031,AMRUTANJAN
INOWINIS,INE510W01014,Inox Green Energy Services Ltd
RPPIPROJ,INE324L01013,RPP Infra Projects Ltd
KPITTECH,INE04I401011,KPIT Technologies Limited
WHEELS,INE715A01015,WHEELS INDIA LTD.
DEVYANI,INE872J01023,DEVYANI INTERNATIONAL LIMITED
KIOCL,INE880L01014,KIOCL Limited
SOUTHBANK,INE683A01023,THE SOUTH INDIAN BANK LIMITED
MMTC,INE123F01029,MMTC Ltd
PVP,INE362A01016,PVP Ventures Ltd
PARAGMILK,INE883N01014,Parag Milk Foods Ltd
IRB,INE821I01022,IRB Infrastructure Developers Limited
IBSEC,INE274G01010,Dhani Services Limited
UTKSMAFB,INE735W01017,Utkarsh Small Finance Bank Ltd
JINDRILL,INE742C01031,Jindal Drilling & Industries Limited
ZEEL,INE256A01028,Zee Entertainment Enterprises Limited
DCXINDIA,INE0KL801015,DCX Systems Ltd
INDIAINFO,INE530B01024,IIFL Finance Ltd
SHRPROP1,INE217L01019,Shriram Properties Ltd
QUELABOR,INE0TNW01017,Quest Laboratories Ltd
INDEMULSIFIER,INE0RRU01016,Indian Emulsifiers Ltd
BOI,INE084A01016,BANK OF INDIA
TRIL,INE763I01026,Transformers and Rectifiers India Ltd
SPASPHFI,INE572J01011,Spandana Sphoorty Financial Ltd
JYOTHYLAB,INE668F01031,JYOTHY LABORATORIES LTD
HCC,INE549A01026,Hindustan Construction Company Ltd
147794,INF247L01AE7,Motilal Oswal Nifty 50 Index FundMOFNIFTY50 - Direct - Growth
ANV5E_SC,INF846KA1119,Axis Nifty500 Value 50 ETF
TVSMOTORNCPRS,INE494B04019,TVS Motor Company Ltd - 6% NCRPS
KTKBANK,INE614B01018,KARNATAKA BANK LTD
GREAVESCOT,INE224A01026,GREAVES COTTON LTD.
KIRLOSBROS,INE732A01036,Kirloskar Brothers Ltd
JUBIINGRE,INE0BY001018,Jubilant Ingrevia Limited
CGCEL,INE299U01018,Crompton Greaves Consumer Electrical Ltd
152855,INF194KB1IT0,Bandhan Nifty Midcap 150 Index Fund-Direct Plan-Growth
149832,INF194KB1CR7,BANDHAN NIFTY 100 INDEX FUND - DIRECT PLAN - GROWTH
150591,INF194KB1DP9,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - GROWTH - DIRECT PLAN
147622,INF247L01916,Motilal Oswal Nifty Midcap 150 Index Fund - Direct - Growth
GATI,INE152B01027,Allcargo Gati Ltd
153838,INF194KB1KB4,Bandhan BSE India Sector Leaders Index Fund - Direct Plan - Growth
152716,INF194KB1IK9,Bandhan Nifty Total Market Index Fund - Direct Plan - Growth
MAHILOG,INE766P01016,Mahindra Logistics Ltd
NESCO,INE317F01035,Nesco Ltd
SWASUITI,INE0GMR01016,Swaraj Suiting Ltd
CLEDUCAT,INE201M01029,CL Educate Ltd
HINDOILEXP,INE345A01011,Hindustan Oil Exploration Company Ltd
BEML.,INE258A01024,BEML Ltd
CANFINHOME,INE477A01020,Can Fin Homes Limited
112932,INF769K01101,Mirae Asset Large & Midcap Fund - Regular Plan - Growth
149886,INF200KA15E8,SBI Multicap Fund- Regular Plan- Growth Option
MIDCAPETF,INF769K01IC9,Mirae Asset Nifty Midcap 150 ETF
149896,INF846K016H6,Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth Option
URJA,INE550C01020,Urja Global Ltd
SYRMA,INE0DYJ01015,Syrma SGS Technology Limited
DREAMFOLKS,INE0JS101016,Dreamfolks Services Ltd
150803,INF179KC1EB5,HDFC Business Cycle Fund - Growth Option
150806,INF179KC1EC3,HDFC Business Cycle Fund - IDCW Option
ASHIANA,INE365D01021,Ashiana Housing Ltd
WELCORP,INE191B01025,Welspun Corp Limited
VOLTAMP,INE540H01012,Voltamp Transformers Limited
RUCHI,INE619A01035,Patanjali Foods Ltd
GOODLUCK,INE127I01024,GOOD LUCK STEEL TUBE LTD.
INDRENED,INE202E01016,Indian Renewable Energy Development Agency Ltd
IBREALESTATE,INE069I01010,Embassy Developments Ltd
151751,INF179KC1GL9,HDFC Defence Fund - Growth Option
102941,INF200K01560,SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH
113177,INF204K01HY3,Nippon India Small Cap Fund - Growth Plan - Growth Option
EMBASSYREIT,INE041025011,EMBASSY OFFICE PARKS REIT
152774,INF200KB1290,SBI Innovative Opportunities Fund - Regular Plan - Growth
152906,INF200KB1357,SBI Nifty 500 Index Fund- Regular Plan- Growth
153009,INF769K01MS7,Mirae Asset Gold ETF Fund of Fund - Regular Plan - Growth
152970,INF769K01MA5,Mirae Asset Nifty Total Market Index Fund - Regular Plan - Growth
NIVBUPHI,INE995S01015,Niva Bupa Health Insurance Company Ltd
530355,INE276G01015,Asian Energy Services Limited
JBMA,INE927D01051,JBM Auto Ltd
ALLBLEAD,INE552Z01027,Allied Blenders and Distillers Ltd
CAPTECH1,INE0ILV01024,Capillary Technologies India Ltd
MONMM5E_SC,INF247L01FQ0,Motilal Oswal Nifty Midcap150 Momentum 50 ETF
ENMMQ5E_SC,INF754K01TF1,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF
MONIDE_SC,INF247L01DJ0,Motilal Oswal Nifty India Defence ETF
NBCC,INE095N01031,NBCC India Limited
113434,INF846K01W80,AXIS MUTUAL FUND - GOLD ETF
SILVERIETF,INF109KC1Y56,ICICI Prudential Silver ETF
TDPOWERSYS,INE419M01027,TD Power Systems Limited
120473,INF846K01DS2,Axis Gold Fund - Direct Plan - Growth option
LAURUSLABS,INE947Q01028,Laurus Labs Ltd
RADICO,INE944F01028,Radico Khaitan Ltd
CUMMINSIND,INE298A01020,Cummins India Ltd
ADIFINECH,INE959A01019,Privi Speciality Chemicals Ltd
GODFRYPHLP,INE260B01028,Godfrey Phillips India Limited
INDIANB,INE562A01011,Indian Bank
152392,INF204KC1CE2,Nippon India Nifty IT Index Fund - Direct Plan - Growth Option
153114,INF194KB1JA8,Bandhan Nifty 200 Quality 30 Index Fund - Direct Plan - Growth
SHAILY,INE151G01028,Shaily Engineering Plastics Ltd
LLOYDMETAL,INE281B01032,Lloyds Metals and Energy Limited
152712,INF247L01CW5,Motilal Oswal Nifty India Defence Index Fund Direct Plan Growth
ANANTRAJ,INE242C01024,Anant Raj Limited
COMMIETF,INF109KC19O8,ICICI Prudential Nifty Commodities ETF
INFRAIETF,INF109KC16E5,ICICI Prudential Nifty Infrastructure ETF
MONPE_SC,INF247L01FO5,Motilal Oswal Nifty PSE ETF
HNPBE_SC,INF179KC1HW4,HDFC NIFTY PSU Bank ETF
ASTER,INE914M01019,Aster DM Healthcare Ltd
EGE_SC,INF754K01SE6,Edelweiss Gold ETF
PIRAMALFIN,INE202B01038,Piramal Finance Ltd
153581,INF277KA1DZ9,Tata Nifty Midcap 150 Index Fund - Direct Plan - Growth Option
NRBBEARING,INE349A01021,NRB Bearings Ltd
120377,INF109K012B0,ICICI Prudential Balanced Advantage Fund - Direct - Growth
IPNV3E_SC,INF109KC16X5,ICICI Prudential Nifty200 Value 30 ETF
DNHE_SC,INF740KA1UF4,DSP Nifty Healthcare ETF
MANIE_SC,INF769K01KV5,Mirae Asset Nifty IT ETF
MAHINDFORG,INE536H01010,CIE Automotive India Ltd
AUTINVAI,INE206F01022,Authum Investment and Infrastructure Ltd
LTFH,INE498L01015,L&T Finance Ltd
KWIL,INE2KCE01013,Kwality Walls India Ltd
STRTECH,INE089C01029,Sterlite Technologies Ltd
AURSOLUT,INE132H01018,AurionPro Solutions Ltd
HCG,INE075I01017,HealthCare Global Enterprises Ltd
150930,INF109KC11M9,ICICI Prudential Nifty Pharma Index Fund - Direct Plan - Growth
153594,INF740KA1WF0,DSP Nifty Healthcare Index Fund - Direct- Growth
152564,INF277KA1BG3,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - Growth
143874,INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics Fund - Direct - Growth
JKBANK,INE168A01041,JAMMU & KASHMIR BANK LTD.
DUCORGAC,INE0LZO01015,Ducol Organics and Colours Ltd
CPC,INE178A01016,Chennai Petroleum Corporation Limited
120211,INF109K01R14,ICICI Prudential Money Market Fund Option - Direct Plan - Growth
119092,INF179KB1HU9,HDFC Money Market Fund - Direct Plan - Growth Option
3MINDIA,INE470A01017,3M INDIA LTD
FINIETF,INF109KC17L8,ICICI Prudential Nifty Financial Services Ex-Bank ETF
MONCME_SC,INF247L01EV3,Motilal Oswal Nifty Capital Market ETF
MANME_SC,INF769K01LY7,Mirae Asset Nifty Metal ETF
NETFPHARMA,INF204KC1089,Nippon India Nifty Pharma ETF
ABSLBANETF,INF209KB17D5,Aditya Birla Sun Life Nifty Bank ETF
MANEWE_SC,INF769K01OO2,Mirae Asset Nifty50 Equal Weight ETF
DSPNIFTY10,INF740KA1UR9,DSP Nifty Top 10 Equal Weight ETF
152814,INF740KA1UQ1,DSP Nifty Top 10 Equal Weight Index Fund - Direct - Growth
KIRLOSENG,INE146L01010,Kirloskar Oil Engines Ltd
152064,INF174KA1PD4,Kotak Multi Asset Allocation Fund - Direct Plan - Growth Option
GANECOS,INE845D01014,Ganesha Ecosphere Ltd
152916,INF174KA1TM7,Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth
151724,INF179KC1GC8,HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan
IBWSL,INE126M01010,Indiabulls Ltd
INE148O01028,INE148O01028,Delhivery Limited
154216,INF769K01QM1,Mirae Asset Nifty Metal ETF FOF - Direct Plan - Growth
TATCAPIT,INE976I01016,Tata Capital Ltd
gfhgjbkl,15151DZXFCGBJNKM,gghjbkl;
gchjkl;,102GHJKL,hjkl;
hvhbjkl;,1245DFGHJK,fgghjkl;
APLOMERGER CODE,APLO101,APLOMERF
TESTSEC,INTEST101,TESTSEC
